engine,model_key,tokenizer_name,runs,mean_token_count,sd_token_count,mean_tokens_per_char,mean_tokens_per_word
agc,distilgpt2,modeltok::distilgpt2,50,93.44,74.66801626574275,0.21493887663748812,1.3022837526100233
agc,distilgpt2,modeltok::gpt2,50,93.44,74.66801626574275,0.21493887663748812,1.3022837526100233
agc,distilgpt2,modeltok::qwen2.5-0.5b-instruct,50,89.22,70.18090036121085,0.20700823232234686,1.2506978790226209
agc,distilgpt2,reference::openai-community/gpt2,50,93.44,74.66801626574275,0.21493887663748812,1.3022837526100233
agc,gpt2,modeltok::distilgpt2,50,100.22,48.77741615266856,0.24983552847067692,1.2732387628943946
agc,gpt2,modeltok::gpt2,50,100.22,48.77741615266856,0.24983552847067692,1.2732387628943946
agc,gpt2,modeltok::qwen2.5-0.5b-instruct,50,99.2,48.613847023754246,0.2488450625356251,1.2521641517593785
agc,gpt2,reference::openai-community/gpt2,50,100.22,48.77741615266856,0.24983552847067692,1.2732387628943946
agc,qwen2.5-0.5b-instruct,modeltok::distilgpt2,50,104.98,65.7920316495199,0.4998980502639274,16.746148779647168
agc,qwen2.5-0.5b-instruct,modeltok::gpt2,50,104.98,65.7920316495199,0.4998980502639274,16.746148779647168
agc,qwen2.5-0.5b-instruct,modeltok::qwen2.5-0.5b-instruct,50,75.0,41.52009594578196,0.26678652504406974,5.357642422212633
agc,qwen2.5-0.5b-instruct,reference::openai-community/gpt2,50,104.98,65.7920316495199,0.4998980502639274,16.746148779647168
lvtc,distilgpt2,modeltok::distilgpt2,50,115.6,83.30592746629983,0.20674998247551504,1.228100143069351
lvtc,distilgpt2,modeltok::gpt2,50,115.6,83.30592746629983,0.20674998247551504,1.228100143069351
lvtc,distilgpt2,modeltok::qwen2.5-0.5b-instruct,50,110.0,75.59289460184544,0.19963740179938277,1.1845579237560517
lvtc,distilgpt2,reference::openai-community/gpt2,50,115.6,83.30592746629983,0.20674998247551504,1.228100143069351
lvtc,gpt2,modeltok::distilgpt2,50,111.54,45.25357579737738,0.21893537320154088,1.657241411932546
lvtc,gpt2,modeltok::gpt2,50,111.54,45.25357579737738,0.21893537320154088,1.657241411932546
lvtc,gpt2,modeltok::qwen2.5-0.5b-instruct,50,110.38,44.789252537379355,0.21783910126884848,1.6441704366950665
lvtc,gpt2,reference::openai-community/gpt2,50,111.54,45.25357579737738,0.21893537320154088,1.657241411932546
lvtc,qwen2.5-0.5b-instruct,modeltok::distilgpt2,50,116.2,46.59858980085739,0.25103210189972425,2.2993511826944952
lvtc,qwen2.5-0.5b-instruct,modeltok::gpt2,50,116.2,46.59858980085739,0.25103210189972425,2.2993511826944952
lvtc,qwen2.5-0.5b-instruct,modeltok::qwen2.5-0.5b-instruct,50,100.32,38.49804659767473,0.19696542039970574,1.5349592584174665
lvtc,qwen2.5-0.5b-instruct,reference::openai-community/gpt2,50,116.2,46.59858980085739,0.25103210189972425,2.2993511826944952
rtsm,distilgpt2,modeltok::distilgpt2,50,473.2,126.56723630593523,0.19444578811951663,1.222705119596777
rtsm,distilgpt2,modeltok::gpt2,50,473.2,126.56723630593523,0.19444578811951663,1.222705119596777
rtsm,distilgpt2,modeltok::qwen2.5-0.5b-instruct,50,468.74,127.41140339186956,0.1925876165311661,1.2093342256751287
rtsm,distilgpt2,reference::openai-community/gpt2,50,473.2,126.56723630593523,0.19444578811951663,1.222705119596777
rtsm,gpt2,modeltok::distilgpt2,50,491.8,128.83940327684962,0.20356602063821552,1.3174034971654813
