engine,model_key,run_dir,native_output_tokens,char_count,word_count,native_tokens_per_char,native_tokens_per_word
lvtc,distilgpt2,outputs\suite_20260404T090445Z_factorial\lvtc_20260404T150700Z_a-research-vessel-recovered-a-tr,145,35,7,4.142857142857143,20.714285714285715
srpf,distilgpt2,outputs\suite_20260404T090445Z_factorial\srpf_20260404T150711Z_a-research-vessel-recovered-a-tr,592,2818,417,0.2100780695528744,1.419664268585132
rtsm,gpt2,outputs\suite_20260404T090445Z_factorial\rtsm_20260404T150721Z_a-research-vessel-recovered-a-tr,658,2705,430,0.2432532347504621,1.5302325581395348
agc,gpt2,outputs\suite_20260404T090445Z_factorial\agc_20260404T150738Z_a-research-vessel-recovered-a-tr,143,631,99,0.2266244057052298,1.4444444444444444
lvtc,gpt2,outputs\suite_20260404T090445Z_factorial\lvtc_20260404T150804Z_a-research-vessel-recovered-a-tr,335,752,118,0.4454787234042553,2.8389830508474576
srpf,gpt2,outputs\suite_20260404T090445Z_factorial\srpf_20260404T150826Z_a-research-vessel-recovered-a-tr,539,562,76,0.9590747330960854,7.092105263157895
rtsm,qwen2.5-0.5b-instruct,outputs\suite_20260404T090445Z_factorial\rtsm_20260404T150925Z_a-research-vessel-recovered-a-tr,533,3153,433,0.1690453536314621,1.2309468822170901
agc,qwen2.5-0.5b-instruct,outputs\suite_20260404T090445Z_factorial\agc_20260404T151033Z_a-research-vessel-recovered-a-tr,281,635,104,0.44251968503937006,2.701923076923077
lvtc,qwen2.5-0.5b-instruct,outputs\suite_20260404T090445Z_factorial\lvtc_20260404T151207Z_a-research-vessel-recovered-a-tr,333,703,101,0.47368421052631576,3.297029702970297
srpf,qwen2.5-0.5b-instruct,outputs\suite_20260404T090445Z_factorial\srpf_20260404T151305Z_a-research-vessel-recovered-a-tr,443,756,94,0.5859788359788359,4.712765957446808
rtsm,distilgpt2,outputs\suite_20260404T090445Z_factorial\rtsm_20260404T151532Z_a-research-vessel-recovered-a-tr,532,2668,422,0.19940029985007496,1.2606635071090047
agc,distilgpt2,outputs\suite_20260404T090445Z_factorial\agc_20260404T151545Z_a-research-vessel-recovered-a-tr,253,167,23,1.5149700598802396,11.0
lvtc,distilgpt2,outputs\suite_20260404T090445Z_factorial\lvtc_20260404T151606Z_a-research-vessel-recovered-a-tr,353,1471,247,0.2399728076138681,1.4291497975708503
srpf,distilgpt2,outputs\suite_20260404T090445Z_factorial\srpf_20260404T151613Z_a-research-vessel-recovered-a-tr,499,536,87,0.9309701492537313,5.735632183908046
rtsm,gpt2,outputs\suite_20260404T090445Z_factorial\rtsm_20260404T151624Z_a-research-vessel-recovered-a-tr,458,2223,316,0.20602789023841656,1.4493670886075949
agc,gpt2,outputs\suite_20260404T090445Z_factorial\agc_20260404T151644Z_a-research-vessel-recovered-a-tr,179,155,26,1.1548387096774193,6.884615384615385
lvtc,gpt2,outputs\suite_20260404T090445Z_factorial\lvtc_20260404T151706Z_a-research-vessel-recovered-a-tr,101,390,66,0.258974358974359,1.5303030303030303
srpf,gpt2,outputs\suite_20260404T090445Z_factorial\srpf_20260404T151721Z_a-research-vessel-recovered-a-tr,356,1831,278,0.19442927362097215,1.2805755395683454
rtsm,qwen2.5-0.5b-instruct,outputs\suite_20260404T090445Z_factorial\rtsm_20260404T151754Z_a-research-vessel-recovered-a-tr,488,2887,367,0.16903359889158295,1.3297002724795641
agc,qwen2.5-0.5b-instruct,outputs\suite_20260404T090445Z_factorial\agc_20260404T151855Z_a-research-vessel-recovered-a-tr,153,39,9,3.923076923076923,17.0
lvtc,qwen2.5-0.5b-instruct,outputs\suite_20260404T090445Z_factorial\lvtc_20260404T152006Z_a-research-vessel-recovered-a-tr,271,287,41,0.9442508710801394,6.609756097560975
srpf,qwen2.5-0.5b-instruct,outputs\suite_20260404T090445Z_factorial\srpf_20260404T152101Z_a-research-vessel-recovered-a-tr,411,218,29,1.885321100917431,14.172413793103448
rtsm,distilgpt2,outputs\suite_20260404T090445Z_factorial\rtsm_20260404T152324Z_a-research-vessel-recovered-a-tr,229,2276,340,0.10061511423550087,0.6735294117647059
agc,distilgpt2,outputs\suite_20260404T090445Z_factorial\agc_20260404T152331Z_a-research-vessel-recovered-a-tr,319,197,33,1.619289340101523,9.666666666666666
lvtc,distilgpt2,outputs\suite_20260404T090445Z_factorial\lvtc_20260404T152356Z_a-research-vessel-recovered-a-tr,336,710,114,0.4732394366197183,2.9473684210526314
srpf,distilgpt2,outputs\suite_20260404T090445Z_factorial\srpf_20260404T152413Z_a-research-vessel-recovered-a-tr,219,1066,177,0.20544090056285177,1.2372881355932204
rtsm,gpt2,outputs\suite_20260404T090445Z_factorial\rtsm_20260404T152425Z_a-research-vessel-recovered-a-tr,284,2738,458,0.10372534696859022,0.6200873362445415
agc,gpt2,outputs\suite_20260404T090445Z_factorial\agc_20260404T152437Z_a-research-vessel-recovered-a-tr,184,946,139,0.1945031712473573,1.3237410071942446
lvtc,gpt2,outputs\suite_20260404T090445Z_factorial\lvtc_20260404T152510Z_a-research-vessel-recovered-a-tr,211,684,114,0.3084795321637427,1.8508771929824561
srpf,gpt2,outputs\suite_20260404T090445Z_factorial\srpf_20260404T152526Z_a-research-vessel-recovered-a-tr,400,567,82,0.7054673721340388,4.878048780487805
rtsm,qwen2.5-0.5b-instruct,outputs\suite_20260404T090445Z_factorial\rtsm_20260404T152618Z_a-research-vessel-recovered-a-tr,459,2393,351,0.19180944421228582,1.3076923076923077
agc,qwen2.5-0.5b-instruct,outputs\suite_20260404T090445Z_factorial\agc_20260404T152718Z_a-research-vessel-recovered-a-tr,225,141,1,1.5957446808510638,225.0
lvtc,qwen2.5-0.5b-instruct,outputs\suite_20260404T090445Z_factorial\lvtc_20260404T152836Z_a-research-vessel-recovered-a-tr,288,499,71,0.5771543086172345,4.056338028169014
srpf,qwen2.5-0.5b-instruct,outputs\suite_20260404T090445Z_factorial\srpf_20260404T152942Z_a-research-vessel-recovered-a-tr,537,1025,133,0.5239024390243903,4.037593984962406
rtsm,distilgpt2,outputs\suite_20260404T090445Z_factorial\rtsm_20260404T153239Z_a-research-vessel-recovered-a-tr,461,1527,168,0.30189914865749834,2.744047619047619
agc,distilgpt2,outputs\suite_20260404T090445Z_factorial\agc_20260404T153253Z_a-research-vessel-recovered-a-tr,109,68,11,1.6029411764705883,9.909090909090908
lvtc,distilgpt2,outputs\suite_20260404T090445Z_factorial\lvtc_20260404T153311Z_a-research-vessel-recovered-a-tr,304,661,113,0.4599092284417549,2.690265486725664
srpf,distilgpt2,outputs\suite_20260404T090445Z_factorial\srpf_20260404T153321Z_a-research-vessel-recovered-a-tr,265,234,33,1.1324786324786325,8.030303030303031
rtsm,gpt2,outputs\suite_20260404T090445Z_factorial\rtsm_20260404T153334Z_a-research-vessel-recovered-a-tr,423,1868,312,0.22644539614561027,1.3557692307692308
agc,gpt2,outputs\suite_20260404T090445Z_factorial\agc_20260404T153353Z_a-research-vessel-recovered-a-tr,328,781,115,0.4199743918053777,2.8521739130434782
lvtc,gpt2,outputs\suite_20260404T090445Z_factorial\lvtc_20260404T153434Z_a-research-vessel-recovered-a-tr,234,678,112,0.34513274336283184,2.0892857142857144
srpf,gpt2,outputs\suite_20260404T090445Z_factorial\srpf_20260404T153454Z_a-research-vessel-recovered-a-tr,783,3670,561,0.21335149863760217,1.3957219251336899
rtsm,qwen2.5-0.5b-instruct,outputs\suite_20260404T090445Z_factorial\rtsm_20260404T153519Z_a-research-vessel-recovered-a-tr,431,2505,334,0.1720558882235529,1.2904191616766467
agc,qwen2.5-0.5b-instruct,outputs\suite_20260404T090445Z_factorial\agc_20260404T153616Z_a-research-vessel-recovered-a-tr,156,32,1,4.875,156.0
lvtc,qwen2.5-0.5b-instruct,outputs\suite_20260404T090445Z_factorial\lvtc_20260404T153738Z_a-research-vessel-recovered-a-tr,234,637,98,0.3673469387755102,2.3877551020408165
srpf,qwen2.5-0.5b-instruct,outputs\suite_20260404T090445Z_factorial\srpf_20260404T153839Z_a-research-vessel-recovered-a-tr,538,1040,134,0.5173076923076924,4.014925373134329
rtsm,distilgpt2,outputs\suite_20260404T090445Z_factorial\rtsm_20260404T154208Z_a-research-vessel-recovered-a-tr,397,4134,620,0.09603289791969037,0.6403225806451613
agc,distilgpt2,outputs\suite_20260404T090445Z_factorial\agc_20260404T154231Z_a-research-vessel-recovered-a-tr,161,39,9,4.128205128205129,17.88888888888889
lvtc,distilgpt2,outputs\suite_20260404T090445Z_factorial\lvtc_20260404T154253Z_a-research-vessel-recovered-a-tr,265,323,47,0.8204334365325078,5.638297872340425
srpf,distilgpt2,outputs\suite_20260404T090445Z_factorial\srpf_20260404T154305Z_a-research-vessel-recovered-a-tr,154,107,14,1.439252336448598,11.0
rtsm,gpt2,outputs\suite_20260404T090445Z_factorial\rtsm_20260404T154324Z_a-research-vessel-recovered-a-tr,401,4278,630,0.09373539036933147,0.6365079365079365
agc,gpt2,outputs\suite_20260404T090445Z_factorial\agc_20260404T154343Z_a-research-vessel-recovered-a-tr,325,609,106,0.5336617405582923,3.0660377358490565
lvtc,gpt2,outputs\suite_20260404T090445Z_factorial\lvtc_20260404T154425Z_a-research-vessel-recovered-a-tr,370,570,101,0.6491228070175439,3.6633663366336635
srpf,gpt2,outputs\suite_20260404T090445Z_factorial\srpf_20260404T154443Z_a-research-vessel-recovered-a-tr,360,398,52,0.9045226130653267,6.923076923076923
rtsm,qwen2.5-0.5b-instruct,outputs\suite_20260404T090445Z_factorial\rtsm_20260404T154505Z_a-research-vessel-recovered-a-tr,542,3305,411,0.16399394856278365,1.3187347931873479
agc,qwen2.5-0.5b-instruct,outputs\suite_20260404T090445Z_factorial\agc_20260404T154617Z_a-research-vessel-recovered-a-tr,183,69,3,2.652173913043478,61.0
lvtc,qwen2.5-0.5b-instruct,outputs\suite_20260404T090445Z_factorial\lvtc_20260404T154737Z_a-research-vessel-recovered-a-tr,229,130,17,1.7615384615384615,13.470588235294118
srpf,qwen2.5-0.5b-instruct,outputs\suite_20260404T090445Z_factorial\srpf_20260404T154852Z_a-research-vessel-recovered-a-tr,425,315,40,1.3492063492063493,10.625
rtsm,distilgpt2,outputs\suite_20260404T090445Z_factorial\rtsm_20260404T155247Z_a-research-vessel-recovered-a-tr,568,2663,437,0.21329327825760422,1.299771167048055
agc,distilgpt2,outputs\suite_20260404T090445Z_factorial\agc_20260404T155311Z_a-research-vessel-recovered-a-tr,243,175,31,1.3885714285714286,7.838709677419355
lvtc,distilgpt2,outputs\suite_20260404T090445Z_factorial\lvtc_20260404T155410Z_a-research-vessel-recovered-a-tr,233,159,30,1.4654088050314464,7.766666666666667
srpf,distilgpt2,outputs\suite_20260404T090445Z_factorial\srpf_20260404T155420Z_a-research-vessel-recovered-a-tr,447,1982,309,0.2255297679112008,1.4466019417475728
rtsm,gpt2,outputs\suite_20260404T090445Z_factorial\rtsm_20260404T155430Z_a-research-vessel-recovered-a-tr,533,2782,424,0.19158878504672897,1.2570754716981132
agc,gpt2,outputs\suite_20260404T090445Z_factorial\agc_20260404T155454Z_a-research-vessel-recovered-a-tr,128,1,1,128.0,128.0
lvtc,gpt2,outputs\suite_20260404T090445Z_factorial\lvtc_20260404T155515Z_a-research-vessel-recovered-a-tr,271,173,21,1.5664739884393064,12.904761904761905
srpf,gpt2,outputs\suite_20260404T090445Z_factorial\srpf_20260404T155538Z_a-research-vessel-recovered-a-tr,865,1,1,865.0,865.0
rtsm,qwen2.5-0.5b-instruct,outputs\suite_20260404T090445Z_factorial\rtsm_20260404T155609Z_a-research-vessel-recovered-a-tr,490,2932,378,0.16712141882673942,1.2962962962962963
agc,qwen2.5-0.5b-instruct,outputs\suite_20260404T090445Z_factorial\agc_20260404T155715Z_a-research-vessel-recovered-a-tr,334,642,93,0.5202492211838006,3.5913978494623655
lvtc,qwen2.5-0.5b-instruct,outputs\suite_20260404T090445Z_factorial\lvtc_20260404T160101Z_a-research-vessel-recovered-a-tr,337,635,89,0.5307086614173229,3.7865168539325844
srpf,qwen2.5-0.5b-instruct,outputs\suite_20260404T090445Z_factorial\srpf_20260404T160219Z_a-research-vessel-recovered-a-tr,492,951,122,0.5173501577287066,4.032786885245901
rtsm,distilgpt2,outputs\suite_20260404T090445Z_factorial\rtsm_20260404T160538Z_a-research-vessel-recovered-a-tr,658,3598,509,0.1828793774319066,1.2927308447937131
