engine,model_key,tokenizer_name,runs,mean_token_count,sd_token_count,mean_tokens_per_char,mean_tokens_per_word
agc,distilgpt2,modeltok::distilgpt2,4,119.75,115.19367748853811,0.21538093625795796,1.34986301369863
agc,distilgpt2,modeltok::gpt2,4,119.75,115.19367748853811,0.21538093625795796,1.34986301369863
agc,distilgpt2,modeltok::qwen2.5-0.5b-instruct,4,112.5,106.0644458179397,0.1991802896061849,1.249640410958904
agc,distilgpt2,reference::openai-community/gpt2,4,119.75,115.19367748853811,0.21538093625795796,1.34986301369863
agc,gpt2,modeltok::distilgpt2,4,116.5,6.350852961085884,0.23925726461695324,1.3243790665665665
agc,gpt2,modeltok::gpt2,4,116.5,6.350852961085884,0.23925726461695324,1.3243790665665665
agc,gpt2,modeltok::qwen2.5-0.5b-instruct,4,113.25,6.3966136874651625,0.22956906787296574,1.2756662912912913
agc,gpt2,reference::openai-community/gpt2,4,116.5,6.350852961085884,0.23925726461695324,1.3243790665665665
agc,qwen2.5-0.5b-instruct,modeltok::distilgpt2,4,133.5,75.18200139217718,0.3444991567009449,2.753764417826918
agc,qwen2.5-0.5b-instruct,modeltok::gpt2,4,133.5,75.18200139217718,0.3444991567009449,2.753764417826918
agc,qwen2.5-0.5b-instruct,modeltok::qwen2.5-0.5b-instruct,4,98.25,34.98928407384181,0.24007188105744431,1.8539768461643462
agc,qwen2.5-0.5b-instruct,reference::openai-community/gpt2,4,133.5,75.18200139217718,0.3444991567009449,2.753764417826918
lvtc,distilgpt2,modeltok::distilgpt2,4,139.0,121.67990795525776,0.19685934086062304,1.1760750395214212
lvtc,distilgpt2,modeltok::gpt2,4,139.0,121.67990795525776,0.19685934086062304,1.1760750395214212
lvtc,distilgpt2,modeltok::qwen2.5-0.5b-instruct,4,130.0,111.80638025920823,0.18822675935048863,1.1224519244048228
lvtc,distilgpt2,reference::openai-community/gpt2,4,139.0,121.67990795525776,0.19685934086062304,1.1760750395214212
lvtc,gpt2,modeltok::distilgpt2,4,104.75,45.83575751164877,0.20208288744319128,1.1820379009699398
lvtc,gpt2,modeltok::gpt2,4,104.75,45.83575751164877,0.20208288744319128,1.1820379009699398
lvtc,gpt2,modeltok::qwen2.5-0.5b-instruct,4,103.25,44.88039661143828,0.19959656486801844,1.1676995334762326
lvtc,gpt2,reference::openai-community/gpt2,4,104.75,45.83575751164877,0.20208288744319128,1.1820379009699398
lvtc,qwen2.5-0.5b-instruct,modeltok::distilgpt2,3,138.33333333333334,0.5773502691896278,0.19007479594905421,1.3934150326797383
lvtc,qwen2.5-0.5b-instruct,modeltok::gpt2,3,138.33333333333334,0.5773502691896278,0.19007479594905421,1.3934150326797383
lvtc,qwen2.5-0.5b-instruct,modeltok::qwen2.5-0.5b-instruct,3,128.0,0.0,0.17591137508768875,1.2894117647058823
lvtc,qwen2.5-0.5b-instruct,reference::openai-community/gpt2,3,138.33333333333334,0.5773502691896278,0.19007479594905421,1.3934150326797383
rtsm,distilgpt2,modeltok::distilgpt2,4,424.25,119.73686427607275,0.1891669029893117,1.1641838597855454
rtsm,distilgpt2,modeltok::gpt2,4,424.25,119.73686427607275,0.1891669029893117,1.1641838597855454
rtsm,distilgpt2,modeltok::qwen2.5-0.5b-instruct,4,417.25,116.61439305105809,0.1861476375615367,1.145582799401643
rtsm,distilgpt2,reference::openai-community/gpt2,4,424.25,119.73686427607275,0.1891669029893117,1.1641838597855454
rtsm,gpt2,modeltok::distilgpt2,4,454.25,93.1785919618879,0.18554518988141355,1.2086126500393075
rtsm,gpt2,modeltok::gpt2,4,454.25,93.1785919618879,0.18554518988141355,1.2086126500393075
rtsm,gpt2,modeltok::qwen2.5-0.5b-instruct,4,454.75,93.80254083268036,0.18570329596212623,1.209731149149452
rtsm,gpt2,reference::openai-community/gpt2,4,454.25,93.1785919618879,0.18554518988141355,1.2086126500393075
rtsm,qwen2.5-0.5b-instruct,modeltok::distilgpt2,4,423.25,75.91826745476567,0.1850693823891737,1.2126560655215437
rtsm,qwen2.5-0.5b-instruct,modeltok::gpt2,4,423.25,75.91826745476567,0.1850693823891737,1.2126560655215437
rtsm,qwen2.5-0.5b-instruct,modeltok::qwen2.5-0.5b-instruct,4,416.0,76.40680597957227,0.18169511386915585,1.1907643387583287
rtsm,qwen2.5-0.5b-instruct,reference::openai-community/gpt2,4,423.25,75.91826745476567,0.1850693823891737,1.2126560655215437
srpf,distilgpt2,modeltok::distilgpt2,4,146.5,86.24190783294782,0.24163451189820745,42.44263960585568
srpf,distilgpt2,modeltok::gpt2,4,146.5,86.24190783294782,0.24163451189820745,42.44263960585568
srpf,distilgpt2,modeltok::qwen2.5-0.5b-instruct,4,208.0,185.09637129524356,0.3883216330928093,118.09764630045136
srpf,distilgpt2,reference::openai-community/gpt2,4,146.5,86.24190783294782,0.24163451189820745,42.44263960585568
srpf,gpt2,modeltok::distilgpt2,4,109.0,58.315235287758775,0.19348635403543532,1.1786806465705548
srpf,gpt2,modeltok::gpt2,4,109.0,58.315235287758775,0.19348635403543532,1.1786806465705548
srpf,gpt2,modeltok::qwen2.5-0.5b-instruct,4,110.25,59.03318275907768,0.1966450004867647,1.1962401703800787
srpf,gpt2,reference::openai-community/gpt2,4,109.0,58.315235287758775,0.19348635403543532,1.1786806465705548
srpf,qwen2.5-0.5b-instruct,modeltok::distilgpt2,3,153.0,21.93171219946131,0.18463381877385832,1.196288161823326
srpf,qwen2.5-0.5b-instruct,modeltok::gpt2,3,153.0,21.93171219946131,0.18463381877385832,1.196288161823326
srpf,qwen2.5-0.5b-instruct,modeltok::qwen2.5-0.5b-instruct,3,149.33333333333334,18.475208614068027,0.1809347818414344,1.1702594404756324
srpf,qwen2.5-0.5b-instruct,reference::openai-community/gpt2,3,153.0,21.93171219946131,0.18463381877385832,1.196288161823326
