engine,model_key,run_dir,native_output_tokens,char_count,word_count,native_tokens_per_char,native_tokens_per_word
rtsm,distilgpt2,outputs\suite_20260404T041733Z_factorial\rtsm_20260404T041735Z_a-forgotten-machine-beneath-the,340,1579,268,0.21532615579480685,1.2686567164179106
agc,distilgpt2,outputs\suite_20260404T041733Z_factorial\agc_20260404T041745Z_a-forgotten-machine-beneath-the,281,1219,200,0.23051681706316654,1.405
lvtc,distilgpt2,outputs\suite_20260404T041733Z_factorial\lvtc_20260404T041806Z_a-forgotten-machine-beneath-the,167,5,1,33.4,167.0
srpf,distilgpt2,outputs\suite_20260404T041733Z_factorial\srpf_20260404T041814Z_a-forgotten-machine-beneath-the,915,270,46,3.388888888888889,19.891304347826086
rtsm,gpt2,outputs\suite_20260404T041733Z_factorial\rtsm_20260404T041826Z_a-forgotten-machine-beneath-the,545,2824,416,0.1929886685552408,1.3100961538461537
agc,gpt2,outputs\suite_20260404T041733Z_factorial\agc_20260404T041848Z_a-forgotten-machine-beneath-the,325,641,111,0.5070202808112324,2.9279279279279278
lvtc,gpt2,outputs\suite_20260404T041733Z_factorial\lvtc_20260404T041924Z_a-forgotten-machine-beneath-the,335,646,108,0.5185758513931888,3.1018518518518516
srpf,gpt2,outputs\suite_20260404T041733Z_factorial\srpf_20260404T041947Z_a-forgotten-machine-beneath-the,390,123,24,3.1707317073170733,16.25
rtsm,qwen2.5-0.5b-instruct,outputs\suite_20260404T041733Z_factorial\rtsm_20260404T042019Z_a-forgotten-machine-beneath-the,526,2699,415,0.19488699518340125,1.2674698795180723
agc,qwen2.5-0.5b-instruct,outputs\suite_20260404T041733Z_factorial\agc_20260404T042121Z_a-forgotten-machine-beneath-the,258,330,37,0.7818181818181819,6.972972972972973
lvtc,qwen2.5-0.5b-instruct,outputs\suite_20260404T041733Z_factorial\lvtc_20260404T042242Z_a-forgotten-machine-beneath-the,337,793,102,0.424968474148802,3.303921568627451
srpf,qwen2.5-0.5b-instruct,outputs\suite_20260404T041733Z_factorial\srpf_20260404T042351Z_a-forgotten-machine-beneath-the,538,1027,142,0.5238558909444986,3.788732394366197
rtsm,distilgpt2,outputs\suite_20260404T041733Z_factorial\rtsm_20260404T042628Z_a-forgotten-machine-beneath-the,473,2228,363,0.2122980251346499,1.303030303030303
agc,distilgpt2,outputs\suite_20260404T041733Z_factorial\agc_20260404T042641Z_a-forgotten-machine-beneath-the,109,457,73,0.23851203501094093,1.4931506849315068
lvtc,distilgpt2,outputs\suite_20260404T041733Z_factorial\lvtc_20260404T042654Z_a-forgotten-machine-beneath-the,296,537,79,0.5512104283054003,3.7468354430379747
srpf,distilgpt2,outputs\suite_20260404T041733Z_factorial\srpf_20260404T042708Z_a-forgotten-machine-beneath-the,981,611,102,1.6055646481178396,9.617647058823529
rtsm,gpt2,outputs\suite_20260404T041733Z_factorial\rtsm_20260404T042718Z_a-forgotten-machine-beneath-the,351,1656,264,0.21195652173913043,1.3295454545454546
agc,gpt2,outputs\suite_20260404T041733Z_factorial\agc_20260404T042732Z_a-forgotten-machine-beneath-the,312,294,60,1.0612244897959184,5.2
lvtc,gpt2,outputs\suite_20260404T041733Z_factorial\lvtc_20260404T042800Z_a-forgotten-machine-beneath-the,334,672,105,0.49702380952380953,3.1809523809523808
srpf,gpt2,outputs\suite_20260404T041733Z_factorial\srpf_20260404T042818Z_a-forgotten-machine-beneath-the,494,614,92,0.8045602605863192,5.369565217391305
rtsm,qwen2.5-0.5b-instruct,outputs\suite_20260404T041733Z_factorial\rtsm_20260404T042907Z_a-forgotten-machine-beneath-the,459,2358,347,0.1946564885496183,1.3227665706051874
agc,qwen2.5-0.5b-instruct,outputs\suite_20260404T041733Z_factorial\agc_20260404T042959Z_a-forgotten-machine-beneath-the,257,253,36,1.0158102766798418,7.138888888888889
lvtc,qwen2.5-0.5b-instruct,outputs\suite_20260404T041733Z_factorial\lvtc_20260404T043114Z_a-forgotten-machine-beneath-the,275,721,96,0.3814147018030513,2.8645833333333335
srpf,qwen2.5-0.5b-instruct,outputs\suite_20260404T041733Z_factorial\srpf_20260404T043210Z_a-forgotten-machine-beneath-the,538,857,136,0.6277712952158693,3.9558823529411766
rtsm,distilgpt2,outputs\suite_20260404T041733Z_factorial\rtsm_20260404T043448Z_a-forgotten-machine-beneath-the,404,2054,322,0.1966893865628043,1.2546583850931676
agc,distilgpt2,outputs\suite_20260404T041733Z_factorial\agc_20260404T043459Z_a-forgotten-machine-beneath-the,294,495,75,0.593939393939394,3.92
lvtc,distilgpt2,outputs\suite_20260404T041733Z_factorial\lvtc_20260404T043524Z_a-forgotten-machine-beneath-the,285,1281,212,0.2224824355971897,1.3443396226415094
srpf,distilgpt2,outputs\suite_20260404T041733Z_factorial\srpf_20260404T043533Z_a-forgotten-machine-beneath-the,535,469,1,1.140724946695096,535.0
rtsm,gpt2,outputs\suite_20260404T041733Z_factorial\rtsm_20260404T043558Z_a-forgotten-machine-beneath-the,515,2551,389,0.20188161505292043,1.3239074550128536
agc,gpt2,outputs\suite_20260404T041733Z_factorial\agc_20260404T043619Z_a-forgotten-machine-beneath-the,314,613,96,0.5122349102773246,3.2708333333333335
lvtc,gpt2,outputs\suite_20260404T041733Z_factorial\lvtc_20260404T043649Z_a-forgotten-machine-beneath-the,333,584,103,0.5702054794520548,3.233009708737864
srpf,gpt2,outputs\suite_20260404T041733Z_factorial\srpf_20260404T043711Z_a-forgotten-machine-beneath-the,1000,692,109,1.4450867052023122,9.174311926605505
rtsm,qwen2.5-0.5b-instruct,outputs\suite_20260404T041733Z_factorial\rtsm_20260404T043738Z_a-forgotten-machine-beneath-the,351,1676,266,0.2094272076372315,1.3195488721804511
agc,qwen2.5-0.5b-instruct,outputs\suite_20260404T041733Z_factorial\agc_20260404T043817Z_a-forgotten-machine-beneath-the,228,665,96,0.34285714285714286,2.375
lvtc,qwen2.5-0.5b-instruct,outputs\suite_20260404T041733Z_factorial\lvtc_20260404T043916Z_a-forgotten-machine-beneath-the,265,678,100,0.39085545722713866,2.65
srpf,qwen2.5-0.5b-instruct,outputs\suite_20260404T041733Z_factorial\srpf_20260404T044007Z_a-forgotten-machine-beneath-the,505,639,106,0.7902973395931142,4.764150943396227
rtsm,distilgpt2,outputs\suite_20260404T041733Z_factorial\rtsm_20260404T044244Z_a-forgotten-machine-beneath-the,310,3126,502,0.09916826615483046,0.6175298804780877
agc,distilgpt2,outputs\suite_20260404T041733Z_factorial\agc_20260404T044253Z_a-forgotten-machine-beneath-the,98,31,5,3.161290322580645,19.6
lvtc,distilgpt2,outputs\suite_20260404T041733Z_factorial\lvtc_20260404T044309Z_a-forgotten-machine-beneath-the,183,910,147,0.2010989010989011,1.2448979591836735
srpf,distilgpt2,outputs\suite_20260404T041733Z_factorial\srpf_20260404T044322Z_a-forgotten-machine-beneath-the,255,1060,163,0.24056603773584906,1.5644171779141105
rtsm,gpt2,outputs\suite_20260404T041733Z_factorial\rtsm_20260404T044330Z_a-forgotten-machine-beneath-the,545,2799,434,0.19471239728474454,1.2557603686635945
agc,gpt2,outputs\suite_20260404T041733Z_factorial\agc_20260404T044352Z_a-forgotten-machine-beneath-the,302,636,108,0.4748427672955975,2.7962962962962963
lvtc,gpt2,outputs\suite_20260404T041733Z_factorial\lvtc_20260404T044424Z_a-forgotten-machine-beneath-the,135,178,33,0.7584269662921348,4.090909090909091
srpf,gpt2,outputs\suite_20260404T041733Z_factorial\srpf_20260404T044439Z_a-forgotten-machine-beneath-the,538,888,140,0.6058558558558559,3.842857142857143
rtsm,qwen2.5-0.5b-instruct,outputs\suite_20260404T041733Z_factorial\rtsm_20260404T044524Z_a-forgotten-machine-beneath-the,491,2437,368,0.20147722609766106,1.3342391304347827
agc,qwen2.5-0.5b-instruct,outputs\suite_20260404T041733Z_factorial\agc_20260404T044620Z_a-forgotten-machine-beneath-the,250,463,66,0.5399568034557235,3.787878787878788
