suite_dir,run_dir,engine,model_key,prompt_index,prompt_text,replicate_index,run_seed,final_step,char_count,word_count,type_token_ratio,mattr_50,mtld,hapax_ratio,word_entropy_bits,char_entropy_bits,distinct_1,distinct_2,distinct_3,repeated_bigram_fraction,repeated_trigram_fraction,repeated_4gram_fraction,prompt_tfidf_cosine,previous_step_tfidf_cosine,prompt_lexical_overlap,sentence_count,avg_sentence_length_words,avg_syllables_per_word,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,native_input_tokens,native_new_tokens,native_output_tokens,native_context_limit,native_prompt_truncated,native_requested_max_new_tokens,native_effective_max_new_tokens
/mnt/data/inspect_outputs/outputs/suite_20260404T041733Z_factorial,/mnt/data/inspect_outputs/outputs/suite_20260404T041733Z_factorial/lvtc_20260404T042242Z_a-forgotten-machine-beneath-the,lvtc,qwen2.5-0.5b-instruct,0,"A forgotten machine beneath the sea continued speaking long after its makers were gone. Each repetition made its message stranger, denser, and more self-aware.",0,1010,4,793,102,0.9215686274509803,0.9271698113207547,364.13999999999976,0.8921568627450981,6.460566121633879,4.33941247118108,0.9215686274509803,1.0,1.0,0.0,0.0,0.0,0.03362987985087521,0.1546156537778488,0.13043478260869565,3.0,34.0,2.1666666666666665,-10.974999999999966,23.236666666666668,27.71764705882353,209,128,337,32768,False,128,128
/mnt/data/inspect_outputs/outputs/suite_20260404T041733Z_factorial,/mnt/data/inspect_outputs/outputs/suite_20260404T041733Z_factorial/srpf_20260404T042351Z_a-forgotten-machine-beneath-the,srpf,qwen2.5-0.5b-instruct,0,"A forgotten machine beneath the sea continued speaking long after its makers were gone. Each repetition made its message stranger, denser, and more self-aware.",0,1011,4,1027,143,0.7622377622377622,0.9012765957446809,168.40352941176468,0.6363636363636364,6.56023073564654,4.275464778635266,0.7622377622377622,0.9788732394366197,1.0,0.021126760563380254,0.0,0.0,0.0650296880663098,0.21990457147027445,0.17391304347826086,5.0,28.6,2.1538461538461537,-4.409384615384596,20.97938461538462,25.985454545454548,378,160,538,32768,False,160,160
/mnt/data/inspect_outputs/outputs/suite_20260404T041733Z_factorial,/mnt/data/inspect_outputs/outputs/suite_20260404T041733Z_factorial/rtsm_20260404T042628Z_a-forgotten-machine-beneath-the,rtsm,distilgpt2,0,"A forgotten machine beneath the sea continued speaking long after its makers were gone. Each repetition made its message stranger, denser, and more self-aware.",1,1012,5,2228,372,0.8091397849462365,0.9642105263157895,545.7397183098591,0.6827956989247311,8.090076418565124,4.7136413009165326,0.8091397849462365,0.9892183288409704,1.0,0.010781671159029615,0.0,0.0,0.18640112054672578,0.8807036204157465,1.0,12.0,31.0,1.521505376344086,46.65064516129033,14.453763440860214,17.453763440860214,377,96,473,1024,False,96,96
/mnt/data/inspect_outputs/outputs/suite_20260404T041733Z_factorial,/mnt/data/inspect_outputs/outputs/suite_20260404T041733Z_factorial/agc_20260404T042641Z_a-forgotten-machine-beneath-the,agc,distilgpt2,0,"A forgotten machine beneath the sea continued speaking long after its makers were gone. Each repetition made its message stranger, denser, and more self-aware.",1,1013,3,457,73,0.8904109589041096,0.8908333333333333,186.51500000000004,0.821917808219178,5.9329082917270926,4.633636230607614,0.8904109589041096,1.0,1.0,0.0,0.0,0.0,0.023197066744939696,0.41718326794656274,0.08695652173913043,4.0,18.25,1.6849315068493151,45.76604452054795,11.40969178082192,13.875342465753427,108,1,109,1024,False,120,120
/mnt/data/inspect_outputs/outputs/suite_20260404T041733Z_factorial,/mnt/data/inspect_outputs/outputs/suite_20260404T041733Z_factorial/lvtc_20260404T042654Z_a-forgotten-machine-beneath-the,lvtc,distilgpt2,0,"A forgotten machine beneath the sea continued speaking long after its makers were gone. Each repetition made its message stranger, denser, and more self-aware.",1,1014,4,537,78,0.9487179487179487,0.9572413793103448,425.8799999999997,0.9102564102564102,6.173160071398614,4.3183327028117064,0.9487179487179487,1.0,1.0,0.0,0.0,0.0,0.005667217056815685,0.015636536777863492,0.043478260869565216,3.0,26.0,1.705128205128205,36.191153846153895,14.670512820512823,16.553846153846155,206,90,296,1024,False,128,128
/mnt/data/inspect_outputs/outputs/suite_20260404T041733Z_factorial,/mnt/data/inspect_outputs/outputs/suite_20260404T041733Z_factorial/srpf_20260404T042708Z_a-forgotten-machine-beneath-the,srpf,distilgpt2,0,"A forgotten machine beneath the sea continued speaking long after its makers were gone. Each repetition made its message stranger, denser, and more self-aware.",1,1015,4,611,103,0.9320388349514563,0.9462962962962963,424.36000000000024,0.8737864077669902,6.543249192210758,4.310497672000287,0.9320388349514563,1.0,1.0,0.0,0.0,0.0,0.025378474954177707,0.05155786059929434,0.21739130434782608,1.0,103.0,1.5922330097087378,-32.4129126213592,43.36834951456311,47.80194174757282,863,118,981,1024,True,160,160
/mnt/data/inspect_outputs/outputs/suite_20260404T041733Z_factorial,/mnt/data/inspect_outputs/outputs/suite_20260404T041733Z_factorial/rtsm_20260404T042718Z_a-forgotten-machine-beneath-the,rtsm,gpt2,0,"A forgotten machine beneath the sea continued speaking long after its makers were gone. Each repetition made its message stranger, denser, and more self-aware.",1,1016,5,1656,269,0.9442379182156134,0.990909090909091,1350.7386666666678,0.8884758364312267,7.959938198987851,4.447525433038807,0.9442379182156134,1.0,1.0,0.0,0.0,0.0,0.21803297314457462,0.9237626362359277,1.0,8.0,33.625,1.5687732342007434,39.98740938661712,16.035274163568772,19.100557620817845,316,35,351,1024,False,96,96
/mnt/data/inspect_outputs/outputs/suite_20260404T041733Z_factorial,/mnt/data/inspect_outputs/outputs/suite_20260404T041733Z_factorial/agc_20260404T042732Z_a-forgotten-machine-beneath-the,agc,gpt2,0,"A forgotten machine beneath the sea continued speaking long after its makers were gone. Each repetition made its message stranger, denser, and more self-aware.",1,1017,3,294,29,0.896551724137931,0.896551724137931,51.99545893719808,0.8275862068965517,4.625053839880556,5.056164513276601,0.896551724137931,1.0,1.0,0.0,0.0,0.0,0.0,0.015677264651346064,0.0,5.0,5.8,1.0344827586206897,113.43075862068966,-1.1211034482758606,3.699310344827586,192,120,312,1024,False,120,120
/mnt/data/inspect_outputs/outputs/suite_20260404T041733Z_factorial,/mnt/data/inspect_outputs/outputs/suite_20260404T041733Z_factorial/lvtc_20260404T042800Z_a-forgotten-machine-beneath-the,lvtc,gpt2,0,"A forgotten machine beneath the sea continued speaking long after its makers were gone. Each repetition made its message stranger, denser, and more self-aware.",1,1018,4,672,106,0.9528301886792453,0.9887719298245614,629.2160000000002,0.9150943396226415,6.6264592517126,4.4621254627693485,0.9528301886792453,1.0,1.0,0.0,0.0,0.0,0.010035338639625514,0.01675240645771571,0.08695652173913043,4.0,26.5,1.6037735849056605,44.25825471698113,13.669528301886796,15.883018867924529,206,128,334,1024,False,128,128
/mnt/data/inspect_outputs/outputs/suite_20260404T041733Z_factorial,/mnt/data/inspect_outputs/outputs/suite_20260404T041733Z_factorial/srpf_20260404T042818Z_a-forgotten-machine-beneath-the,srpf,gpt2,0,"A forgotten machine beneath the sea continued speaking long after its makers were gone. Each repetition made its message stranger, denser, and more self-aware.",1,1019,4,614,94,0.9787234042553191,0.996,1237.0399999999981,0.9574468085106383,6.512035660188276,4.38774131946572,0.9787234042553191,1.0,1.0,0.0,0.0,0.0,0.016135004325302023,0.009396069262818456,0.08695652173913043,1.0,94.0,1.797872340425532,-40.67499999999998,42.28489361702128,46.96170212765958,378,116,494,1024,False,160,160
