engine,model_key,prompt_index,runs,mean_words,sd_words,mean_mattr_50,mean_mtld,mean_word_entropy_bits,mean_distinct_2,mean_repeated_trigram_fraction,mean_prompt_tfidf_cosine,mean_previous_step_tfidf_cosine,mean_flesch_reading_ease,mean_flesch_kincaid_grade,mean_gunning_fog
agc,distilgpt2,0,10,88.9,53.22582915172754,0.9485590072588176,343.9855516884456,5.83364322856798,0.9812807881773399,0.018316831683168323,0.022665278818512775,0.24159953856382038,40.70774356651285,13.651572207710302,16.93140966078706
agc,distilgpt2,1,10,34.0,36.69695718539436,0.9823168426672005,250.8639999999998,4.175393796733799,0.9,0.0,0.013120008706151732,0.008151101139836683,72.49897020774065,8.03292535321506,11.617345318777247
agc,distilgpt2,2,10,86.1,60.30561057369925,0.9526020830435387,329.80664696969694,5.65303478625354,0.9815533980582524,0.018048780487804884,0.03302383478868822,0.25426383620688775,54.4112463714639,11.13753468656493,14.522092353383147
agc,distilgpt2,3,10,89.8,58.52786610761673,0.9267829706599302,229.95759485465388,5.597539904677378,0.9552555248618784,0.043825995807127885,0.025599980727104225,0.3509381207916454,55.73935924390305,10.69282049290452,13.134583294926973
agc,distilgpt2,4,10,56.9,50.036542202230116,0.9780205308602495,185.56257777777768,5.184958974868273,1.0,0.0,0.024015492592980102,0.17204709652755495,43.54996627122707,12.843577039282867,15.87568394519958
agc,gpt2,0,10,92.5,28.092110398947725,0.9719624393255797,1150.8494792270553,6.352833588735086,1.0,0.0,0.014924816405812363,0.07675112872688844,62.688628685949176,10.529547555230105,14.419478870193174
agc,gpt2,1,10,78.2,33.145470613980166,0.9796598861226006,489.7933333333329,6.079096230065576,1.0,0.0,0.03231643109051465,0.07323055038478907,53.45201921950819,11.774394088374354,13.41702879073198
agc,gpt2,2,10,70.4,36.62482461088077,0.8817981272357212,709.1537999999998,5.481724272813019,0.8989690721649485,0.0,0.014165420679640254,0.07297156426440435,51.12708952429673,9.67965969598068,12.110699575509265
agc,gpt2,3,10,62.7,49.91336939582865,0.9792746538966464,417.8914666666666,5.276091424393901,1.0,0.0,0.022870556717492586,0.137073453242939,63.918729473654025,9.112383346333,11.866236571447027
agc,gpt2,4,10,84.0,42.373996218855204,0.8807076249596465,236.87559999999993,5.697824087627721,0.9,0.0,0.023931890370420286,0.1301401087038895,36.0335031454196,12.786076117620754,15.721898966328377
agc,qwen2.5-0.5b-instruct,0,10,60.6,27.72163214691532,0.9148552820289494,173.42933420195442,5.487670548840953,0.9944204520517884,0.0,0.05270627463134838,0.21440614325608826,44.14439926054355,11.87643972094862,15.136248931939889
agc,qwen2.5-0.5b-instruct,1,10,54.7,30.5688657878495,0.9281571275363293,129.20598954332053,5.178768168060907,0.9861236788590114,0.0,0.08938366174195342,0.22240606619115572,34.44341816160869,12.567264281241346,16.46963174510337
agc,qwen2.5-0.5b-instruct,2,10,46.8,41.91472825206486,0.9259308942720066,87.86790940887414,4.368272773990291,0.9763129459370699,0.018083003952569166,0.045326462106596424,0.2426905428861458,77.79907028126186,5.461512163291296,12.231488700922426
agc,qwen2.5-0.5b-instruct,3,10,35.3,24.89555962192633,0.9173849104174228,137.61926818181828,4.519941259294567,0.9931982995748937,0.0,0.04538348782486597,0.2113122269627441,62.11460534164132,8.881244198473462,13.964699470674109
agc,qwen2.5-0.5b-instruct,4,10,42.3,40.79501603545871,0.8977734814205404,83.62517948717951,3.9474444875979118,0.9948505747126436,0.002020202020202022,0.026237305259346533,0.06416222978741258,88.70634056904422,3.694637564443797,11.411756322207788
lvtc,distilgpt2,0,10,74.0,68.28697614561001,0.8663505961489875,350.60208352707906,5.105478299056661,0.8836538461538461,0.01594202898550725,0.02579685839903177,0.170689999898808,41.73742688139879,11.293239079584255,13.435254122534152
lvtc,distilgpt2,1,10,106.1,56.904305636744226,0.8934165373180685,256.02816881201045,6.063068520999201,0.9231948165404775,0.07050426260656516,0.06209292748066281,0.3435877231524813,55.38863998030905,10.873681598491176,13.92307668116457
lvtc,distilgpt2,2,10,97.4,46.9945623331986,0.9413292383735403,489.18606957949885,6.106684642511997,0.9760535117056856,0.02193548387096774,0.03962789236848442,0.2748661871945155,41.76917999576627,14.07329056271293,16.907618037927236
